time,soilmoisture,airtemperature,airhumidity
2021-11-11 08:00:00,98.0,21.0,94.0
2021-11-11 09:00:00,98.0,20.8,72.0
2021-11-11 10:00:00,98.0,20.6,71.0
2021-11-11 11:00:00,98.0,20.8,66.0
2021-11-11 12:00:00,98.0,18.85,67.5
2021-11-11 13:00:00,98.0,14.3,91.0
2021-11-11 14:00:00,98.0,14.5,91.0
2021-11-11 15:00:00,98.0,18.9,77.0
2021-11-11 16:00:00,98.0,20.4,87.5
2021-11-11 17:00:00,98.0,20.7,93.0
2021-11-11 18:00:00,96.0,20.8,93.0
2021-11-11 19:00:00,96.0,20.9,82.5
2021-11-11 20:00:00,96.0,20.95,77.0
2021-11-11 21:00:00,93.0,20.700000000000003,78.0
2021-11-11 22:00:00,93.0,20.15,71.0
2021-11-11 23:00:00,93.0,20.1,70.0
2021-11-12 00:00:00,90.0,19.95,68.0
2021-11-12 01:00:00,90.0,19.5,66.5
2021-11-12 02:00:00,90.0,19.5,62.5
2021-11-12 03:00:00,90.0,19.3,61.0
2021-11-12 04:00:00,90.0,19.3,60.0
2021-11-12 05:00:00,90.0,19.549999999999997,60.5
2021-11-12 06:00:00,90.0,19.9,64.0
2021-11-12 07:00:00,90.0,19.85,71.0
2021-11-12 08:00:00,91.0,20.4,66.5
2021-11-12 09:00:00,86.5,20.85,82.5
2021-11-12 10:00:00,84.0,20.9,76.0
2021-11-12 11:00:00,84.0,20.75,70.0
2021-11-12 12:00:00,83.0,20.5,67.0
2021-11-12 13:00:00,81.0,20.5,85.0
2021-11-12 14:00:00,81.0,20.299999999999997,87.0
2021-11-12 15:00:00,81.0,19.8,82.0
2021-11-12 16:00:00,81.0,19.55,67.5
2021-11-12 17:00:00,81.0,19.6,60.0
2021-11-12 18:00:00,81.0,19.3,62.0
2021-11-12 19:00:00,81.0,19.3,62.0
2021-11-12 20:00:00,77.0,22.2,68.0
2021-11-12 21:00:00,77.0,21.8,58.0
2021-11-12 22:00:00,76.0,21.299999999999997,58.5
2021-11-12 23:00:00,75.5,21.25,63.5
2021-11-13 00:00:00,75.5,21.2,66.0
2021-11-13 01:00:00,75.0,21.2,67.0
2021-11-13 02:00:00,75.5,21.1,63.5
2021-11-13 03:00:00,75.0,21.1,61.5
2021-11-13 04:00:00,75.5,21.0,61.0
2021-11-13 05:00:00,75.0,20.95,59.0
2021-11-13 06:00:00,75.0,20.8,58.0
2021-11-13 07:00:00,76.0,20.1,57.0
2021-11-13 08:00:00,75.0,20.1,55.0
2021-11-13 09:00:00,75.0,21.0,84.66666666666667
2021-11-13 10:00:00,71.5,20.7,84.0
2021-11-13 11:00:00,70.0,20.5,76.25
2021-11-13 12:00:00,70.0,20.5,70.0
2021-11-13 13:00:00,70.0,20.475,66.5
