time,soilmoisture,airtemperature,airhumidity
2021-11-11 08:55:00,98.00,21.00,94.00
2021-11-11 09:54:00,98.00,20.80,72.00
2021-11-11 10:24:00,98.00,20.60,71.00
2021-11-11 11:24:00,98.00,20.80,66.00
2021-11-11 12:24:00,98.00,20.30,68.00
2021-11-11 12:53:00,98.00,17.40,67.00
2021-11-11 13:23:00,98.00,14.30,91.00
2021-11-11 14:23:00,98.00,14.20,91.00
2021-11-11 14:53:00,98.00,14.80,91.00
2021-11-11 15:54:00,98.00,18.90,77.00
2021-11-11 16:23:00,98.00,20.30,91.00
2021-11-11 16:53:00,98.00,20.50,84.00
2021-11-11 17:23:00,98.00,20.70,93.00
2021-11-11 18:23:00,96.00,20.80,93.00
2021-11-11 19:23:00,96.00,20.90,86.00
2021-11-11 19:53:00,96.00,20.90,79.00
2021-11-11 20:23:00,96.00,21.00,75.00
2021-11-11 20:53:00,96.00,20.90,79.00
2021-11-11 21:23:00,93.00,20.80,79.00
2021-11-11 21:53:00,93.00,20.60,77.00
2021-11-11 22:22:00,93.00,20.20,71.00
2021-11-11 22:52:00,93.00,20.10,71.00
2021-11-11 23:22:00,93.00,20.10,72.00
2021-11-11 23:52:00,93.00,20.10,68.00
2021-11-12 00:22:00,90.00,19.90,68.00
2021-11-12 00:52:00,90.00,20.00,68.00
2021-11-12 01:22:00,90.00,19.60,68.00
2021-11-12 01:52:00,90.00,19.40,65.00
2021-11-12 02:22:00,90.00,19.60,63.00
2021-11-12 02:51:00,90.00,19.40,62.00
2021-11-12 03:21:00,90.00,19.30,61.00
2021-11-12 03:51:00,90.00,19.30,61.00
2021-11-12 04:51:00,90.00,19.30,60.00
2021-11-12 05:21:00,90.00,19.40,60.00
2021-11-12 05:51:00,90.00,19.70,61.00
2021-11-12 06:21:00,90.00,19.90,63.00
2021-11-12 06:51:00,90.00,19.90,65.00
2021-11-12 07:21:00,90.00,19.80,70.00
2021-11-12 07:50:00,90.00,19.90,72.00
2021-11-12 08:20:00,92.00,20.20,66.00
2021-11-12 08:50:00,90.00,20.60,67.00
2021-11-12 09:20:00,88.00,20.80,86.00
2021-11-12 09:50:00,85.00,20.90,79.00
2021-11-12 10:20:00,84.00,20.90,76.00
2021-11-12 11:20:00,85.00,20.80,74.00
2021-11-12 11:50:00,83.00,20.70,66.00
2021-11-12 12:20:00,84.00,20.60,69.00
2021-11-12 12:49:00,82.00,20.40,65.00
2021-11-12 13:49:00,81.00,20.50,85.00
2021-11-12 14:19:00,81.00,20.40,89.00
2021-11-12 14:49:00,81.00,20.20,85.00
2021-11-12 15:19:00,81.00,19.80,82.00
2021-11-12 16:19:00,81.00,19.80,72.00
2021-11-12 16:49:00,81.00,19.30,63.00
2021-11-12 17:14:00,81.00,19.60,60.00
2021-11-12 18:11:00,81.00,0,0
2021-11-12 18:14:00,81.00,19.30,62.00
2021-11-12 18:21:00,81.00,0,0
2021-11-12 18:24:00,81.00,0,0
2021-11-12 19:00:00,81.00,0,0
2021-11-12 19:01:00,81.00,0,0
2021-11-12 20:03:00,81.00,0,0
2021-11-12 20:33:00,77.00,22.20,68.00
2021-11-12 21:03:00,77.00,21.80,58.00
2021-11-12 22:03:00,76.00,21.40,57.00
2021-11-12 22:33:00,76.00,21.20,60.00
2021-11-12 23:02:00,76.00,21.30,62.00
2021-11-12 23:32:00,75.00,21.20,65.00
2021-11-13 00:02:00,76.00,21.20,65.00
2021-11-13 00:32:00,75.00,21.20,67.00
2021-11-13 01:02:00,75.00,21.20,67.00
2021-11-13 02:02:00,76.00,21.10,64.00
2021-11-13 02:32:00,75.00,21.10,63.00
2021-11-13 03:02:00,75.00,21.10,62.00
2021-11-13 03:31:00,75.00,21.10,61.00
2021-11-13 04:01:00,75.00,21.00,62.00
2021-11-13 04:31:00,76.00,21.00,60.00
2021-11-13 05:01:00,75.00,21.00,60.00
2021-11-13 05:31:00,75.00,20.90,58.00
2021-11-13 06:01:00,75.00,20.80,58.00
2021-11-13 07:31:00,76.00,20.10,57.00
2021-11-13 08:01:00,75.00,20.10,55.00
2021-11-13 09:17:00,77.00,0,0
2021-11-13 09:19:00,78.00,21.60,85.00
2021-11-13 09:20:00,76.00,20.40,77.00
2021-11-13 09:21:00,79.00,0,0
2021-11-13 09:51:00,71.00,21.00,92.00
2021-11-13 10:21:00,73.00,20.90,88.00
2021-11-13 10:51:00,70.00,20.50,80.00
2021-11-13 11:06:00,70.00,20.50,78.00
2021-11-13 11:21:00,70.00,20.50,77.00
2021-11-13 11:36:00,70.00,20.50,76.00
2021-11-13 11:51:00,70.00,20.50,74.00
2021-11-13 12:06:00,70.00,20.50,72.00
2021-11-13 12:21:00,70.00,20.50,70.00
2021-11-13 12:51:00,70.00,20.50,68.00
2021-11-13 13:06:00,70.00,20.50,68.00
2021-11-13 13:21:00,70.00,20.50,67.00
2021-11-13 13:36:00,70.00,20.50,66.00
2021-11-13 13:51:00,70.00,20.40,65.00
2021-11-13 14:06:00,70.00,20.40,64.00
2021-11-13 14:20:00,70.00,0,0
2021-11-13 14:21:00,0,20.40,64.00
2021-11-13 14:50:00,70.00,20.40,64.00
2021-11-13 15:05:00,70.00,20.40,63.00
2021-11-13 15:20:00,69.00,20.50,63.00
2021-11-13 15:35:00,70.00,20.60,65.00
2021-11-13 15:50:00,70.00,20.80,68.00
2021-11-13 16:20:00,70.00,21.00,72.00
2021-11-13 16:35:00,70.00,21.00,71.00
2021-11-13 16:50:00,70.00,21.00,73.00
2021-11-13 17:05:00,70.00,21.00,76.00
2021-11-13 17:20:00,70.00,21.00,74.00
